USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
vlad               500   0.0  0.1 33889400   7340   ??  S    Mon01PM   0:04.23 /System/Library/PrivateFrameworks/SafariShared.framework/Versions/A/XPCServices/com.apple.Safari.History.xpc/Contents/MacOS/com.apple.Safari.History
vlad               491   0.0  0.1 34350812   9904   ??  S    Mon01PM   0:03.97 /System/Library/CoreServices/Spotlight.app/Contents/MacOS/Spotlight
vlad               489   0.0  0.1 34236680   7480   ??  Ss   Mon01PM   0:01.95 /System/Library/CoreServices/Dock.app/Contents/XPCServices/com.apple.dock.extra.xpc/Contents/MacOS/com.apple.dock.extra
vlad               488   0.0  0.1 33691232   4804   ??  S    Mon01PM   0:05.52 /System/Library/PrivateFrameworks/UserActivity.framework/Agents/useractivityd
vlad               487   0.0  0.2 33722468  17828   ??  S    Mon01PM   1:01.32 /System/Library/PrivateFrameworks/CalendarAgent.framework/Executables/CalendarAgent
vlad               483   0.0  0.0 33713580   1916   ??  S    Mon01PM   0:00.94 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/ATS.framework/Versions/A/Support/fontworker
vlad               482   0.0  0.1 33699016   9152   ??  S    Mon01PM   0:06.04 /usr/sbin/usernoted
vlad               481   0.0  0.1 33691160   4216   ??  S    Mon01PM   0:11.84 /System/Library/PrivateFrameworks/ViewBridge.framework/Versions/A/XPCServices/ViewBridgeAuxiliary.xpc/Contents/MacOS/ViewBridgeAuxiliary
root               479   0.0  0.1 33667256   5100   ??  Ss   Mon01PM   0:03.80 /usr/sbin/filecoordinationd
vlad               478   0.0  0.0 33694148   3592   ??  S    Mon01PM   0:13.18 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/ATS.framework/Support/fontd
vlad               468   0.0  0.0 33666420   3704   ??  S    Mon01PM   0:00.82 /usr/libexec/pboard
vlad               465   0.0  0.7 34444468  59272   ??  S    Mon01PM   2:04.28 /System/Library/CoreServices/Finder.app/Contents/MacOS/Finder
vlad               464   0.0  0.1 34277040   6812   ??  S    Mon01PM   0:01.44 /System/Library/CoreServices/SystemUIServer.app/Contents/MacOS/SystemUIServer
vlad               461   0.0  0.2 34239108  13948   ??  S    Mon01PM   2:51.34 /System/Library/CoreServices/Dock.app/Contents/MacOS/Dock
vlad               452   0.0  0.0 33690712   1984   ??  S    Mon01PM   0:00.06 /System/Library/CoreServices/backgroundtaskmanagementagent
vlad               451   0.0  0.1 33691816   4800   ??  S    Mon01PM   0:02.24 /System/Library/CoreServices/sharedfilelistd
vlad               450   0.0  0.2 33714900  13920   ??  S    Mon01PM   0:23.47 /System/Library/PrivateFrameworks/IDS.framework/identityservicesd.app/Contents/MacOS/identityservicesd
vlad               448   0.0  0.2 33752072  15240   ??  S    Mon01PM   0:45.12 /System/Library/Frameworks/Accounts.framework/Versions/A/Support/accountsd
vlad               445   0.0  0.1 33705588   7928   ??  S    Mon01PM   1:41.89 /usr/libexec/trustd --agent
vlad               443   0.0  0.1 33691072   7648   ??  S    Mon01PM   0:16.83 /usr/libexec/rapportd
vlad               442   0.0  0.1 33731672   9592   ??  S    Mon01PM   0:06.12 /System/Library/PrivateFrameworks/iTunesCloud.framework/Support/itunescloudd
vlad               439   0.0  0.1 33696960   5532   ??  S    Mon01PM   0:07.26 /usr/libexec/lsd
vlad               435   0.0  0.1 33692928   6476   ??  S    Mon01PM   0:14.34 /usr/libexec/UserEventAgent (Aqua)
root               434   0.0  0.0 33660208    580   ??  Ss   Mon01PM   0:00.25 /usr/libexec/securityd_service
vlad               433   0.0  0.0 33662176   3300   ??  S    Mon01PM   0:37.44 /usr/sbin/cfprefsd agent
vlad               432   0.0  0.0 33633060   2928   ??  S    Mon01PM   0:48.70 /usr/sbin/distnoted agent
_driverkit         426   0.0  0.0 34123740    132   ??  Ss   Mon01PM   0:00.01 /System/Library/DriverExtensions/IOUserBluetoothSerialDriver.dext/IOUserBluetoothSerialDriver com.apple.IOUserBluetoothSerialDriver 0x1000005b4 com.apple.IOUserBluetoothSerialDriver
root               419   0.0  0.0 33691588   2308   ??  S    Mon01PM   0:01.00 /usr/sbin/systemstats --logger-helper /private/var/db/systemstats
_fud               413   0.0  0.0 33631972    584   ??  S    Mon01PM   0:02.05 /usr/sbin/distnoted agent
_cmiodalassistants   403   0.0  0.0 33697676   3204   ??  Ss   Mon01PM   0:00.73 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/AppleCamera.plugin/Contents/Resources/AppleCameraAssistant
root               396   0.0  0.0 33659716   1164   ??  Ss   Mon01PM   0:00.10 /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundle/Contents/MacOS/ctkahp -d
_securityagent     391   0.0  0.0 33631972    684   ??  S    Mon01PM   0:02.39 /usr/sbin/distnoted agent
root               381   0.0  0.0 33691112   2700   ??  Ss   Mon01PM   0:00.16 /System/Library/CoreServices/sharedfilelistd
_appleevents       380   0.0  0.0 33690720   3864   ??  Ss   Mon01PM   0:01.79 /System/Library/CoreServices/appleeventsd --server
root               376   0.0  0.0 33690564   2596   ??  Ss   Mon01PM   0:00.63 /usr/libexec/wifianalyticsd
_locationd         374   0.0  0.1 33710120  10312   ??  Ss   Mon01PM   0:28.80 /usr/libexec/locationd
_windowserver      370   0.0  0.0 33631972    584   ??  S    Mon01PM   0:02.12 /usr/sbin/distnoted agent
_cmiodalassistants   351   0.0  0.0 33690540   1708   ??  Ss   Mon01PM   0:00.36 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/UVCAssistant.systemextension/Contents/MacOS/UVCAssistant
_cmiodalassistants   344   0.0  0.0 33631972    584   ??  S    Mon01PM   0:02.13 /usr/sbin/distnoted agent
root               340   0.0  0.0 33643248    776   ??  Ss   Mon01PM   0:00.49 /usr/libexec/thermald
_spotlight         332   0.0  0.0 33631972    608   ??  S    Mon01PM   0:02.29 /usr/sbin/distnoted agent
_driverkit         321   0.0  0.0 34151436    784   ??  Ss   Mon01PM   6:53.95 /System/Library/DriverExtensions/com.apple.AppleUserHIDDrivers.dext/com.apple.AppleUserHIDDrivers com.apple.driverkit.AppleUserHIDDrivers 0x100000446 com.apple.AppleUserHIDDrivers
_nsurlsessiond     320   0.0  0.0 33631972    584   ??  S    Mon01PM   0:02.28 /usr/sbin/distnoted agent
root               317   0.0  0.6 34519192  50440   ??  Ss   Mon01PM   6:54.13 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mds_stores
_softwareupdate    292   0.0  0.0 33631972    584   ??  S    Mon01PM   0:02.58 /usr/sbin/distnoted agent
root               285   0.0  0.1 33710808   4300   ??  Ss   Mon01PM   0:03.12 /usr/libexec/searchpartyd
_locationd         256   0.0  0.0 33631972    696   ??  S    Mon01PM   0:03.08 /usr/sbin/distnoted agent
_nsurlsessiond     252   0.0  0.1 33703588   5268   ??  Ss   Mon01PM   0:11.94 /usr/libexec/nsurlsessiond --privileged
_coreaudiod        246   0.0  0.0 33631972    584   ??  S    Mon01PM   0:02.80 /usr/sbin/distnoted agent
root               243   0.0  0.0 33662360   2016   ??  Ss   Mon01PM   0:00.38 /usr/libexec/diskmanagementd
root               240   0.0  0.0 33659668   2376   ??  Ss   Mon01PM   0:00.26 /usr/libexec/apfsd
root               238   0.0  0.0 33692196   3440   ??  Ss   Mon01PM   0:04.23 /System/Library/PrivateFrameworks/WirelessDiagnostics.framework/Support/awdd
root             33137   0.0  0.0 34123288   1132 s000  R+   10:57AM   0:00.01 ps aux
root               232   0.0  0.0 33690588   1524   ??  Ss   Mon01PM   0:05.19 /usr/sbin/mDNSResponderHelper
_analyticsd        216   0.0  0.1 33700104   7436   ??  Ss   Mon01PM   0:16.07 /System/Library/PrivateFrameworks/CoreAnalytics.framework/Support/analyticsd
_networkd          214   0.0  0.1 33701660   6896   ??  Ss   Mon01PM   0:26.85 /usr/libexec/symptomsd
_mdnsresponder     212   0.0  0.1 33698860   6672   ??  Ss   Mon01PM   0:43.23 /usr/sbin/mDNSResponder
_coreaudiod        198   0.0  0.2 33723056  15012   ??  Ss   Mon01PM  31:38.58 /usr/sbin/coreaudiod
root               196   0.0  0.1 33697036  10092   ??  Ss   Mon01PM   1:06.71 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/contextstored
root               194   0.0  0.1 33701208   9240   ??  Ss   Mon01PM   1:32.31 /usr/libexec/airportd
root               185   0.0  0.1 33699800   8240   ??  Ss   Mon01PM   2:08.82 /usr/libexec/runningboardd
root               184   0.0  0.0 33631972    652   ??  S    Mon01PM   0:03.29 /usr/sbin/distnoted agent
root               176   0.0  0.0 33662108   2788   ??  Ss   Mon01PM   0:02.10 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/authd.xpc/Contents/MacOS/authd
root               174   0.0  0.0 33674168   2480   ??  Ss   Mon01PM   0:01.78 /System/Library/CoreServices/coreservicesd
vlad               173   0.0  0.2 34348104  20100   ??  Ss   Mon01PM   0:17.26 /System/Library/CoreServices/loginwindow.app/Contents/MacOS/loginwindow console
root               171   0.0  0.1 33717352   5992   ??  Ss   Mon01PM   1:22.49 /usr/libexec/syspolicyd
_trustd            170   0.0  0.1 33698808   6768   ??  Ss   Mon01PM   0:36.96 /usr/libexec/trustd
root               168   0.0  0.1 33698948   8072   ??  Rs   Mon01PM   0:27.91 /System/Library/PrivateFrameworks/TCC.framework/Support/tccd system
root               166   0.0  0.0 33660812   2992   ??  Ss   Mon01PM   0:35.28 /usr/sbin/cfprefsd daemon
root               163   0.0  0.1 33691188   5640   ??  Ss   Mon01PM   0:23.75 /usr/libexec/AirPlayXPCHelper
root               162   0.0  0.0 33690548   3936   ??  Ss   Mon01PM   0:07.71 /usr/libexec/corebrightnessd --launchd
root               157   0.0  0.0 33660140    556   ??  Ss   Mon01PM   0:00.03 /usr/sbin/KernelEventAgent
root               156   0.0  0.1 33697396   4768   ??  Ss   Mon01PM   0:00.75 /System/Library/PrivateFrameworks/GenerationalStorage.framework/Versions/A/Support/revisiond
root               155   0.0  0.0 33659668   2204   ??  Ss   Mon01PM   0:00.33 /System/Library/CoreServices/logind
_mysql             154   0.0  0.0 34749272   1576   ??  Ss   Mon01PM   2:34.69 /usr/local/mysql/bin/mysqld --user=_mysql --basedir=/usr/local/mysql --datadir=/usr/local/mysql/data --plugin-dir=/usr/local/mysql/lib/plugin --log-error=/usr/local/mysql/data/mysqld.local.err --pid-file=/usr/local/mysql/data/mysqld.local.pid --keyring-file-data=/usr/local/mysql/keyring/keyring --early-plugin-load=keyring_file=keyring_file.so
_distnote          150   0.0  0.0 33631972   1408   ??  Ss   Mon01PM   0:35.16 /usr/sbin/distnoted daemon
root               148   0.0  0.0 33690976   1832   ??  Ss   Mon01PM   0:00.61 /System/Library/PrivateFrameworks/Heimdal.framework/Helpers/kdc
root               147   0.0  0.1 33696920   7660   ??  Ss   Mon01PM   0:46.64 /usr/libexec/dasd
_displaypolicyd    145   0.0  0.0 33662804   1540   ??  Ss   Mon01PM   0:00.34 /usr/libexec/displaypolicyd -k 1
root               144   0.0  0.0 33660208   1008   ??  Ss   Mon01PM   0:00.04 autofsd
root               139   0.0  0.0 33643180    520   ??  Ss   Mon01PM   0:00.02 auditd -l
root               138   0.0  0.1 33693136   5176   ??  Ss   Mon01PM   0:21.76 /usr/sbin/securityd -i
_usbmuxd           137   0.0  0.0 33694296   1444   ??  Ss   Mon01PM   0:00.54 /System/Library/PrivateFrameworks/MobileDevice.framework/Versions/A/Resources/usbmuxd -launchd
_timed             136   0.0  0.0 33691012   2804   ??  Ss   Mon01PM   0:01.76 /usr/libexec/timed
root               134   0.0  0.0 34859428    628   ??  Ss   Mon01PM   0:00.15 /Library/PrivilegedHelperTools/com.docker.vmnetd
root               133   0.0  0.1 33710280   8188   ??  Ss   Mon01PM   0:14.08 /System/Library/PrivateFrameworks/ApplePushService.framework/apsd
root               131   0.0  0.0 33651432    520   ??  Ss   Mon01PM   0:00.03 /usr/libexec/thermalmonitord
root               127   0.0  0.0 33661272    960   ??  Ss   Mon01PM   0:04.45 /usr/sbin/syslogd
root               123   0.0  0.0 33689404   2688   ??  Ss   Mon01PM   0:05.78 /usr/libexec/diskarbitrationd
root               122   0.0  0.1 33697684   4436   ??  Ss   Mon01PM   0:08.86 /usr/libexec/kernelmanagerd
root               120   0.0  0.2 33821700  14744   ??  Ss   Mon01PM   2:08.59 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Support/mds
root               116   0.0  0.0 33660172   1908   ??  Ss   Mon01PM   0:03.45 /usr/libexec/watchdogd
root               111   0.0  0.0 33690100   1288   ??  Ss   Mon01PM   0:00.22 /usr/libexec/remoted
root               104   0.0  0.1 33695276   5252   ??  Ss   Mon01PM   0:11.19 /usr/libexec/configd
root               102   0.0  0.2 33702700  14452   ??  Ss   Mon01PM   1:51.39 /usr/sbin/systemstats --daemon
root               100   0.0  0.1 33700064   9440   ??  Ss   Mon01PM   0:32.82 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoted
root                99   0.0  0.0 33667540   3932   ??  Ss   Mon01PM   2:21.82 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd
root                98   0.0  0.0 33659324    992   ??  Ss   Mon01PM   0:03.04 /System/Library/PrivateFrameworks/Uninstall.framework/Resources/uninstalld
root                96   0.0  0.0 34140980    504   ??  Ss   Mon01PM   0:00.01 /Library/PrivilegedHelperTools/com.crystalidea.macsfancontrol.smcwrite
root                94   0.0  0.1 33692804   5544   ??  Ss   Mon01PM   0:32.13 /usr/libexec/UserEventAgent (System)
root               235   0.0  0.1 33696320   7840   ??  Ss   Mon01PM   0:06.10 /usr/libexec/lsd runAsRoot
vlad             33133   0.0  0.1 33669392  11724   ??  S    10:57AM   0:00.08 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
vlad             33132   0.0  0.2 33704892  14072   ??  S    10:57AM   0:00.10 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
vlad             33131   0.0  0.2 33704892  14240   ??  S    10:57AM   0:00.09 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
vlad             33130   0.0  0.2 33704892  13824   ??  S    10:57AM   0:00.09 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
vlad             32869   0.0  0.3 135624412  22764   ??  Ss   10:47AM   0:00.40 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
vlad             32861   0.0  2.0 119205484 169872   ??  Ts   10:47AM   0:03.22 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
vlad             32857   0.0  2.4 135914544 204484   ??  Ss   10:47AM   0:08.52 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
vlad             32848   0.0  0.3 135695888  25592   ??  Ts   10:46AM   0:00.52 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
vlad             32785   0.0  1.1 119041584  93812   ??  Ss   10:45AM   0:02.71 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
vlad             32507   0.0  0.0 34151832   2152 s000  S    10:34AM   0:00.13 -zsh
root             32506   0.0  0.0 34151500   4092 s000  Ss   10:34AM   0:00.03 login -pf vlad
vlad             32433   0.0  0.2 33706540  18808   ??  S    10:32AM   0:00.74 /usr/libexec/remindd
vlad             32308   0.0  0.1 34203804  12320   ??  Ss   10:18AM   0:00.14 /System/Library/Frameworks/QuickLookUI.framework/Versions/A/XPCServices/QuickLookUIService.xpc/Contents/MacOS/QuickLookUIService
vlad             32307   0.0  0.6 34359884  54396   ??  Ss   10:18AM   0:14.47 /System/Library/Frameworks/AppKit.framework/Versions/C/XPCServices/com.apple.appkit.xpc.openAndSavePanelService.xpc/Contents/MacOS/com.apple.appkit.xpc.openAndSavePanelService
vlad             32014   0.0  0.1 33696344  10196   ??  Ss   10:06AM   0:00.15 /System/Library/PrivateFrameworks/CloudDocs.framework/PlugIns/com.apple.CloudDocs.MobileDocumentsFileProvider.appex/Contents/MacOS/com.apple.CloudDocs.MobileDocumentsFileProvider -AppleLanguages ("ru-UA", "en-UA", "uk-UA")
vlad             31844   0.0  0.1 34203504  10876   ??  Ss   10:00AM   0:00.08 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
