USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
vlad             26829   0.0  0.2 34300960  14840   ??  Ss    9:13PM   0:01.12 /System/Library/Frameworks/QuickLookUI.framework/Versions/A/XPCServices/QuickLookUIService.xpc/Contents/MacOS/QuickLookUIService
vlad             26828   0.0  0.4 34350212  30080   ??  Ss    9:13PM   0:12.18 /System/Library/Frameworks/AppKit.framework/Versions/C/XPCServices/com.apple.appkit.xpc.openAndSavePanelService.xpc/Contents/MacOS/com.apple.appkit.xpc.openAndSavePanelService
vlad             26827   0.0  0.2 135640852  19952   ??  Ss    9:13PM   0:00.30 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
vlad             26826   0.0  1.2 136386132  98200   ??  Ss    9:13PM   9:53.75 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
vlad             26825   0.0  0.2 118869024  20080   ??  Ss    9:13PM   0:00.31 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
vlad             26824   0.0  0.2 118863640  20016   ??  Ss    9:13PM   0:00.30 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
vlad             26823   0.0  0.2 135640852  19944   ??  Ss    9:13PM   0:00.29 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
vlad             26822   0.0  0.2 135640856  19976   ??  Ss    9:13PM   0:00.30 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
vlad             26821   0.0  0.2 118863636  19960   ??  Ss    9:13PM   0:00.30 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
vlad             26820   0.0  3.4 136246692 282396   ??  Ss    9:13PM   2:17.90 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
